property,city,area,category,rating,price
مخيم بخيمه وجلسة خارجية, الرياض - حي الثمامة, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,0,800
مخيم بجلسة عريش وبيت شعر, الرياض - حي الثمامة, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,0,800
شقة , الرياض - حي اليرموك, مساحة الوحدة 250 م2, مخصص لل عوائل و عزاب,0,650
مخيم مشترك بجلسات خارجية وسينما, الرياض - القدية, مساحة الوحدة 10000 م2, مخصص لل عوائل و عزاب,0,600
خيمه خاصة لشخص بإطلالة جبلية , الرياض - القدية, مساحة الوحدة 10000 م2, مخصص لل عوائل و عزاب,0,600
مخيم عصري وأنيق, الرياض - القدية, مساحة الوحدة 10000 م2, مخصص لل عوائل و عزاب,0,600
خيمه خاصة لشخصين وسينما مشتركة, الرياض - القدية, مساحة الوحدة 10000 م2, مخصص لل عوائل و عزاب,0,"1,100"
خيمه لشخصين وملعب مشترك, الرياض - القدية, مساحة الوحدة 10000 م2, مخصص لل عوائل و عزاب,0,"1,100"
شاليه , الرياض - حي الرمال, مساحة الوحدة 750 م2, مخصص لل عوائل و عزاب,0,"1,020"
شاليه بركن شواء وصالة, الرياض - حي الرمال, مساحة الوحدة 260 م2, مخصص لل عوائل فقط,8.8,400
"شاليه بملعب كرة قدم  إضاءة,ركن شواء", الرياض - حي الرمال, مساحة الوحدة 800 م2, مخصص لل عوائل فقط,8.6,800
"شاليه بركن شواء ,,مسطح اخضر, ", الرياض - حي المهدية, مساحة الوحدة 250 م2, مخصص لل عوائل و عزاب,8.7,612
شاليه بمسبح و جلسة خارجية , الرياض - حي السعادة, مساحة الوحدة 300 م2, مخصص لل عوائل و عزاب,7.1,400
شاليه بمسطح اخضر والعاب اطفال, الرياض - العمارية, مساحة الوحدة 3000 م2, مخصص لل عوائل و عزاب,9.3,800
شاليه بجلسه  على مسطح اخضر , ضرما - الشروق, مساحة الوحدة 625 م2, مخصص لل عوائل و عزاب,9.6,600
شاليه بصالة وجلسة خارجية , الرياض - حي المهدية, مساحة الوحدة 300 م2, مخصص لل عوائل و عزاب,0,400
شاليه بمسطح اخضر وجلسة خارجية , الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل و عزاب,0,350
مخيم بمسطح اخضر وبيت شعر , الرياض - القدية, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,0,250
مخيم بجلسة خارجية وبيت شعر , الرياض - حي الطوقي, مساحة الوحدة 20000 م2, مخصص لل عوائل و عزاب,0,"1,445"
