property,city,area,category,rating,price
شاليه بمجلس و مسبح, الرياض - حي الجبيلة, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,9.2,800
شاليه بغرفة نوم و مسبح , الرياض - حي الجبيلة, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,9.2,800
شاليه بمسبح وغرفة نوم , الرياض - حي الجبيلة, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,9.2,650
شاليه بمجلس و مسبح , الرياض - حي الجبيلة, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,9.2,650
شاليه بمسبح وصالة , الرياض - حي الجبيلة, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,9.2,650
شاليه بمسبح و غرفة نوم , الرياض - حي الجبيلة, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,9.2,650
فيلا بجلسه مطله على مسبح , الرياض - حي العوالي, مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,9.3,"2,000"
شاليه بجلسة خارجيه مع ركن شواء , الرياض - العمارية, مساحة الوحدة 300 م2, مخصص لل عوائل و عزاب,8.1,400
استراحة بمسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 750 م2, مخصص لل عوائل فقط,9.9,"1,000"
استراحة بجلسة مطلة على مسطح اخضر, الرياض - العمارية, مساحة الوحدة 2000 م2, مخصص لل عوائل و عزاب,8,"1,300"
استراحة بمسطحات خضراء , المزاحمية - حي المروج, مساحة الوحدة 750 م2, مخصص لل عوائل و عزاب,9,600
استراحة بملعب كرة قدم و بيت شعر, المزاحمية - حي هذلولة, مساحة الوحدة 2500 م2, مخصص لل عوائل و عزاب,9.3,600
استراحة بالعاب اطفال وجلسات خارجيه , المزاحمية - حي هذلولة, مساحة الوحدة 2500 م2, مخصص لل عوائل و عزاب,9.3,600
شاليه بالعاب مائية ومسطح اخضر, الرياض - حي المونسية, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,9.3,800
شاليه بجلسه مطله على مسبح , الرياض - حي الرمال, مساحة الوحدة 320 م2, مخصص لل عوائل و عزاب,8,500
شاليه بإطلالة مسبح والعاب مائيه, الرياض - حي ضاحية نمار, مساحة الوحدة 400 م2, مخصص لل عوائل و عزاب,9,440
شاليه بجلسه مطله على مسبح وحديقه, الرياض - حي العارض, مساحة الوحدة 350 م2, مخصص لل عوائل و عزاب,9.8,750
شاليه بجلسة مطلة على ألعاب اطفال, الرياض - حي الرمال, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,9.8,500
مخيم بجلسة خارجية وألعاب أطفال , المزاحمية - المشاعله, مساحة الوحدة 7000 م2, مخصص لل عوائل و عزاب,0,700
شاليه بجلسة خارجية على المسبح , الرياض - حي الرمال, مساحة الوحدة 800 م2, مخصص لل عوائل و عزاب,0,"1,500"
شاليه بمسطح اخضر وألعاب أطفال , الرياض - العمارية, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,0,700
شاليه بألعاب أطفال ومسبح خارجي, الرياض - العمارية, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,0,700
شاليه بمسطح اخضر وجلسة خارجية , الرياض - العمارية, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,0,700
شاليه بمسطح اخضر وجلسة خارجية, الرياض - حي بنبان, مساحة الوحدة 480 م2, مخصص لل عوائل و عزاب,7.7,490
شاليه بجلسه مطله على المسبح, الرياض - حي الرمال, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,8.6,"1,150"
منتجع فندقي غرفة نوم وجاكوزي, الرياض - حي الرمال, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,8.6,"1,150"
شاليه بمسطح اخضر وجلسات خارجيه, الرياض - حي الرمال, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,8.6,"1,150"
 شاليه بصاله وجلسه خارجيه, الرياض - حي الرمال, مساحة الوحدة 600 م2, مخصص لل عوائل فقط,8.6,"1,400"
شاليه بجلسة خارجية ومسبح, الرياض - الدرعية, مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,7.9,632
شاليه بمسطح اخضر وركن شواء, الرياض - الدرعية, مساحة الوحدة 500 م2, مخصص لل عوائل فقط,7.9,632
شاليه بمسطح اخضر ومسبح, الرياض - الدرعية, مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,7.9,792
شاليه بمسبح ومسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 600 م2, مخصص لل عوائل فقط,7.9,700
شاليه بجلسة خارجية ومسطح اخضر, الرياض - حي القيروان, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,8.7,700
شاليه بجلسة خارجية ومسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 2000 م2, مخصص لل عوائل فقط,8.8,"1,500"
شاليه  بجلسة خارجيه على المسبح, الرياض - حي الرمال, مساحة الوحدة 550 م2, مخصص لل عوائل فقط,8.6,900
شاليه بمشب وشاشه تلفزيون وديكورات عصريه, الرياض - حي ديراب, مساحة الوحدة 1400 م2, مخصص لل عوائل و عزاب,8.9,850
شاليه بمسطح اخضر ومسبح خارجي, القرينه - حي القرينه, مساحة الوحدة 420 م2, مخصص لل عوائل و عزاب,7.8,550
شاليه بألعاب أطفال وجلسة خارجيه, الرياض - العوالي (نمار), مساحة الوحدة 300 م2, مخصص لل عوائل فقط,7.9,900
شاليه بركن شواء , الرياض - حي النرجس, مساحة الوحدة 600 م2, مخصص لل عوائل و عزاب,8.9,"2,500"
شاليه مع العاب اطفال, الرياض - القدية, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,8.5,550
شاليه بمجلس وملحق خارجي للعوائل (فقط), الرياض - حي قرطبة, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,8.8,600
شاليه بمسطح اخضر والعاب اطفال, الرياض - حي عريض, مساحة الوحدة 250 م2, مخصص لل عوائل فقط,8.8,500
شاليه بملعب كرة طائرة, الرياض - حي الزاهر, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,8.8,800
استراحة واسعة وخيارات متعددة, الرياض - حي ديراب, مساحة الوحدة 2000 م2, مخصص لل عوائل و عزاب,7.6,"1,000"
شاليه بجلسه مطله على مسبح, الرياض - حي عريض, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8.2,500
شاليه بمسبح خارجي بدون بحاجز, الرياض - حي الرمال, مساحة الوحدة 320 م2, مخصص لل عوائل فقط,7.9,500
شاليه بجلسة خارجية تطل على المسبح , المزاحمية - الاحمدية, مساحة الوحدة 170 م2, مخصص لل عوائل و عزاب,8.6,300
شاليه بمسبح و العاب مائيه, الرياض - حي ديراب, مساحة الوحدة 10000 م2, مخصص لل عوائل و عزاب,8.8,"1,350"
شاليه بمسبح وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 420 م2, مخصص لل عوائل فقط,9,500
مخيم ببيت شعر وألعاب أطفال , الرياض - حي الخير, مساحة الوحدة 3000 م2, مخصص لل عوائل و عزاب,8.9,"1,000"
شاليه بمسبح وملعب كرة قدم, الرياض - حي ديراب, مساحة الوحدة 1250 م2, مخصص لل عوائل و عزاب,8.1,299
استراحة بملعب كرة قدم و طائرة , الرياض - حي سلطانة, مساحة الوحدة 2500 م2, مخصص لل عوائل و عزاب,8.9,855
شاليه بجلسة خارجية, الرياض - حي المونسية, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,8.8,"2,000"
شاليه بمسطح أخضر وألعاب أطفال, الرياض - حي ديراب, مساحة الوحدة 600 م2, مخصص لل عوائل و عزاب,8,300
شاليه بمسبح داخلي و مجلس رئيسي , الرياض - العوالي (نمار), مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,8.5,500
شاليه بجلسة مطله على المسبح, الرياض - العمارية, مساحة الوحدة 600 م2, مخصص لل عوائل و عزاب,8.5,500
استراحة بمسبح و مسطح اخضر , الرياض - ديراب , مساحة الوحدة 2000 م2, مخصص لل عوائل و عزاب,8.9,999
شاليه بجلسه مطله على المسبح , الرياض - العمارية, مساحة الوحدة 600 م2, مخصص لل عوائل و عزاب,8.5,500
بجلسة مطلة على المسبح , الرياض - العمارية, مساحة الوحدة 600 م2, مخصص لل عوائل و عزاب,8.5,500
شاليه بصاله مطله على المسبح, الرياض - حي عريض, مساحة الوحدة 312 م2, مخصص لل عوائل و عزاب,9.2,406
شاليه بجلسه مطله على المسبح , الرياض - حي الخير, مساحة الوحدة 400 م2, مخصص لل عوائل و عزاب,8.6,600
شاليه بجلسة مطلة على المسبح, الرياض - الدرعية, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,9.8,650
ديوانيه بمجلس شعبي , الرياض - حي ظهرة لبن, مساحة الوحدة 60 م2, مخصص لل عوائل و عزاب,9.9,200
مخيم بجلسة عريش وبيت شعر, الرياض - حي الثمامة, مساحة الوحدة 5000 م2, مخصص لل عوائل و عزاب,0,700
شاليه بجلسة خارجية ومسطح اخضر, الرياض - حي الناصرية , مساحة الوحدة 80 م2, مخصص لل عوائل و عزاب,0,500
استراحة بمجالس وجلسة خارجية, الرياض - حي البديعة, مساحة الوحدة 3500 م2, مخصص لل عوائل و عزاب,0,450
مخيم بجلسة خارجية وبروجكتر , الرياض - حي العاذرية, مساحة الوحدة 3000 م2, مخصص لل عوائل و عزاب,0,800
شاليه بجلسة خارجية و ألعاب أطفال , الرياض - حي الرمال, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,8.2,900
شاليه بجلسة خارجية ومسبح, الرياض - حي الرمال, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,8.2,900
شاليه بمسبح بألعاب مائية, الرياض - حي الرمال, مساحة الوحدة 550 م2, مخصص لل عوائل فقط,8,900
شاليه بمسطح اخضر ومسبح خارجي, الرياض - حي الرمال, مساحة الوحدة 550 م2, مخصص لل عوائل فقط,8,900
شاليه بمسطح اخضر و مسبح, الرياض - حي الرمال, مساحة الوحدة 550 م2, مخصص لل عوائل فقط,8,900
شاليه بمسطح اخضر ومسبح, الرياض - حي الرمال, مساحة الوحدة 550 م2, مخصص لل عوائل فقط,8,900
شاليه بمسطح اخضر و جلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 550 م2, مخصص لل عوائل فقط,8,900
شاليه بجلسة خارجية و ألعاب مائية, الرياض - حي الرمال, مساحة الوحدة 550 م2, مخصص لل عوائل فقط,8,900
شاليه بمسبح بألعاب مائية, الرياض - حي الرمال, مساحة الوحدة 550 م2, مخصص لل عوائل فقط,8,900
شاليه بمسطح اخضر والعاب مائية, الرياض - حي الرمال, مساحة الوحدة 550 م2, مخصص لل عوائل فقط,8,900
شاليه بمسطح اخضر, الرياض - حي العارض, مساحة الوحدة 300 م2, مخصص لل عوائل و عزاب,7,400
شاليه بمسطح اخضر, الرياض - حي الجبيلة, مساحة الوحدة 900 م2, مخصص لل عوائل فقط,6.9,"1,500"
شاليه بمسطح اخضر وجلسة خارجية, الرياض - حي الجبيلة, مساحة الوحدة 280 م2, مخصص لل عوائل فقط,8.3,650
شاليه بجلسة خارجية ومسبح, الرياض - حي الجبيلة, مساحة الوحدة 280 م2, مخصص لل عوائل فقط,8.3,700
شاليه بمسطح اخضر ومجلس داخلي, الرياض - حي الجبيلة, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8.3,650
شاليه بمسطح اخضر في بنبان, الرياض - حي بنبان, مساحة الوحدة 750 م2, مخصص لل عوائل فقط,8.4,700
شاليه بمجلس رئيسي يسع الى 20 أشخاص, الرياض - حي بنبان, مساحة الوحدة 750 م2, مخصص لل عوائل فقط,8.4,700
شاليه بمسطح اخضر و جلسة خارجية, الرياض - حي بنبان, مساحة الوحدة 750 م2, مخصص لل عوائل فقط,8.4,600
شاليه بمسطح اخضر و ركن شواء, الرياض - حي الرمال, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,8,500
شاليه بصاله وجلسة خارجيه, الرياض - حي الرمال, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,8,500
شاليه بمسبح و جلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,8,500
شاليه بألعاب أطفال ومسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8,400
شاليه بألعاب أطفال وركن شواء, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8,400
شاليه بمسطح اخضر و جلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8,400
شاليه بمسبح وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,8,400
شاليه بمسطح اخضر و جلسة خارجية , الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8,400
شاليه بألعاب أطفال وجلسة خارجية , الرياض - حي الرمال, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,8,400
شاليه بركن شواء ومسطح اخضر , الرياض - حي الرمال, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,8,400
شاليه بمسطح اخضر ومسبح, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8,400
شاليه بركن شواء ومسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8,400
شاليه بمسبح وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,8,400
شاليه بمسبح وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8,400
شاليه بمسطح اخضر وصاله , الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8,400
شاليه بألعاب أطفال وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,8,650
شاليه بمسطح اخضر و ألعاب أطفال, الرياض - حي الرمال, مساحة الوحدة 200 م2, مخصص لل عوائل فقط,8,300
شاليه بركن شواء ومسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 200 م2, مخصص لل عوائل فقط,8,300
شاليه بركن شواء وألعاب أطفال, الرياض - حي الرمال, مساحة الوحدة 200 م2, مخصص لل عوائل فقط,8,300
شاليه بركن شواء وجلسة خارجية و 1غرفة نوم, الرياض - حي الرمال, مساحة الوحدة 320 م2, مخصص لل عوائل فقط,8,"1,000"
شاليه بصالة وغرفة نوم وجاكوزي , الرياض - حي الرمال, مساحة الوحدة 320 م2, مخصص لل عوائل فقط,8,"1,000"
شاليه غرفة نوم ماستر وجاكوزي وطاولة طعام, الرياض - حي الرمال, مساحة الوحدة 320 م2, مخصص لل عوائل فقط,8,"1,000"
شاليه بمسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 480 م2, مخصص لل عوائل فقط,8,"1,000"
شاليه بصاله وجلسة خارجيه, الرياض - حي الرمال, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,8,900
شاليه بركن شواء في الرمال, الرياض - حي الرمال, مساحة الوحدة 560 م2, مخصص لل عوائل فقط,8,"1,000"
شاليه بجلسة خارجية مطلة على المسبح , الرياض - حي الرمال, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,8,800
شاليه بمسطح اخضر في الرمال, الرياض - حي الرمال, مساحة الوحدة 560 م2, مخصص لل عوائل فقط,8,"1,000"
شاليه بمجلس رئيسي وملحق خارجي , الرياض - حي الرمال, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,8,800
شاليه صاله وطاولة طعام  و جلسة خارجية, الرياض - حي نمار, مساحة الوحدة 250 م2, مخصص لل عوائل فقط,6.3,450
منتجع فندقي بركن شواء وجلسات خارجيه, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8.1,"1,160"
منتجع فندقي بجلسة خارجية ومسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8.1,"1,160"
منتجع فندقي بصاله وغرفة نوم , الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8.1,"1,160"
شاليه بمسطح اخضر, الرياض - حي الرفيعة, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,6.6,750
شاليه بالعاب مائية و مسطح اخضر, الرياض - حي ظهرة لبن, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,7,800
شاليه بمسطح اخضر والعاب مائية, الرياض - حي الرمال, مساحة الوحدة 400 م2, مخصص لل عوائل و عزاب,8,650
شاليه بجلسة خارجية ومسبح, الرياض - حي الرمال, مساحة الوحدة 350 م2, مخصص لل عوائل و عزاب,8,550
شاليه بجلسة خارجية ومسبح, الرياض - حي الرمال, مساحة الوحدة 290 م2, مخصص لل عوائل فقط,8.3,700
شاليه بركن شواء إضاءة إضافية و سماعات , المزاحمية - حي الفيصلية, مساحة الوحدة 600 م2, مخصص لل عوائل فقط,8.1,800
شاليه بمجلس وجلسه خارجيه بالمزاحميه, المزاحمية - حي الفيصلية, مساحة الوحدة 600 م2, مخصص لل عوائل فقط,8.1,800
"شاليه بركن شواء, إضاءة إضافية, سماعات ", المزاحمية - حي الفيصلية, مساحة الوحدة 600 م2, مخصص لل عوائل فقط,8.1,800
شاليه بركن شواء وجاكوزي ومسبح داخلي, المزاحمية - حي الفيصلية, مساحة الوحدة 600 م2, مخصص لل عوائل فقط,8.1,800
"شاليه بمجلس  إضاءة إضافية,سماعات,ركن شواء", المزاحمية - حي الفيصلية, مساحة الوحدة 600 م2, مخصص لل عوائل فقط,8.1,800
"شاليه بمجلس رئيسي, ركن شواء, جاكوزي", المزاحمية - حي الفيصلية, مساحة الوحدة 600 م2, مخصص لل عوائل فقط,8.1,800
شاليه صاله مع مطبخ وجاكوزي وموقد حطب, المزاحمية - حي الفيصلية, مساحة الوحدة 600 م2, مخصص لل عوائل فقط,8.1,800
"شاليه بمسطح اخضر  مجلس رئيسي ركن شواء,", المزاحمية - حي الفيصلية, مساحة الوحدة 600 م2, مخصص لل عوائل فقط,8.1,800
شاليه بألعاب أطفال ومسبح, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8.2,300
استراحة بمجلس رئيسى وجلسة خارجية , الرياض - حي القيروان, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,8.2,"2,000"
استراحة واسطبل بمسطح اخضر, الرياض - حي الجنادرية, مساحة الوحدة 1000 م2, مخصص لل عوائل فقط,10,900
استراحة بمجلس وغرفتين وبيت شعر, الرياض - حي لبن, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,7.4,800
شاليه بصالة داخلية مطلة على الفناء , الرياض - حي الرمال, مساحة الوحدة 250 م2, مخصص لل عوائل و عزاب,7.2,450
استراحة بملعب كرة قدم, الرياض - حي ديراب, مساحة الوحدة 2000 م2, مخصص لل عوائل و عزاب,8.1,900
شاليه بركن شواء , الرياض - حي البيان, مساحة الوحدة 460 م2, مخصص لل عوائل فقط,7,800
استراحة بمسبح وجلسة خارجية, الرياض - حي ديراب, مساحة الوحدة 2800 م2, مخصص لل عوائل و عزاب,9.5,"1,200"
شاليه بركن شواء , الرياض - حي اليمامة, مساحة الوحدة 220 م2, مخصص لل عوائل فقط,8.1,600
شاليه بصالة داخلية ومسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,8.3,600
شاليه بصاله مع ليزر ومسبح , الرياض - حي الرمال, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,8.3,600
شاليه بصالة مع ليزر ومسطح أخضر, الرياض - حي الرمال, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,8.3,600
شاليه بملعب كرة قدم ومسبح, الرياض - حي ديراب, مساحة الوحدة 1250 م2, مخصص لل عوائل و عزاب,8.1,299
شاليه بملعب كرة قدم وطائرة, الرياض - حي ديراب, مساحة الوحدة 1250 م2, مخصص لل عوائل و عزاب,8.1,299
شاليه بجلسة خارجية ومسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 280 م2, مخصص لل عوائل فقط,8.2,550
شاليه بمسبح وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 250 م2, مخصص لل عوائل فقط,8.2,450
شاليه بمسطح اخضر ومسبح, الرياض - حي ديراب, مساحة الوحدة 1250 م2, مخصص لل عوائل و عزاب,8.1,299
شاليه بمسطح اخضر و مسبح خارجي, الرياض - حي السعادة, مساحة الوحدة 300 م2, مخصص لل عوائل و عزاب,7.1,400
شاليه بمجلس و مسبح خارجي, الرياض - حي السعادة, مساحة الوحدة 400 م2, مخصص لل عوائل و عزاب,7.1,500
شاليه بجلسة خارجية و مسبح , الرياض - حي المربع, مساحة الوحدة 100 م2, مخصص لل عوائل فقط,7,250
شاليه بمسبح و جلسة , الرياض - حي المربع, مساحة الوحدة 100 م2, مخصص لل عوائل فقط,7,250
استراحة بجلسات خارجيه, المزاحمية - الرفيعه, مساحة الوحدة 2500 م2, مخصص لل عوائل و عزاب,8.3,"2,000"
شاليه بمسطح اخضر و مسبح, الرياض - حي اليمامة, مساحة الوحدة 170 م2, مخصص لل عوائل فقط,8.1,500
شاليه بجلسة خارجيه على مسطح اخضر, الرياض - العمارية, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,8.1,900
شاليه بجلسة على المسبح, الرياض - العمارية, مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,8.1,850
استراحه بطابع تراثي, الرياض - حي الرمال, مساحة الوحدة 810 م2, مخصص لل عوائل و عزاب,8.6,800
شاليه بجلسة مطلة على مسبح, الرياض - حي القيروان, مساحة الوحدة 250 م2, مخصص لل عوائل و عزاب,8.3,700
شاليه بصالة داخلية مع مسبح, الرياض - حي القيروان, مساحة الوحدة 250 م2, مخصص لل عوائل و عزاب,8.3,700
شاليه بصالة مطلة على مسطح اخضر, الرياض - حي القيروان, مساحة الوحدة 230 م2, مخصص لل عوائل و عزاب,8.3,700
شاليه بجسلة و العاب اطفال , الرياض - ديراب , مساحة الوحدة 800 م2, مخصص لل عوائل و عزاب,8,500
شاليه بمسطح اخضر, الرياض - ديراب , مساحة الوحدة 800 م2, مخصص لل عوائل و عزاب,8,600
شاليه بجلسة مطلة على مسبح داخلي, الرياض - حي السعادة, مساحة الوحدة 240 م2, مخصص لل عوائل فقط,8.1,"1,400"
شاليه يمسطح اخضر وجاكوزي , الرياض - حي الرمال, مساحة الوحدة 450 م2, مخصص لل عوائل فقط,7.2,500
شاليه بجلسة تطل على مسبح خارجي , الرياض - حي العارض, مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,7.2,900
شاليه بمسبح ومسطح اخضر, الرياض - حي البيان, مساحة الوحدة 250 م2, مخصص لل عوائل و عزاب,8.3,500
شاليه بمسطح اخضر وملحق, الرياض - حي الرمال, مساحة الوحدة 750 م2, مخصص لل عوائل و عزاب,8.3,750
شاليه بمجلس مودرن وبلكونه , الرياض - حي الرمال, مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,4.5,"1,200"
استراحة بمسطح اخضر وجلسه خارجيه, الرياض - حي الخير, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,0,"1,000"
مخيم تراثي لتعيش أجواء البادية , الرياض - المشاعلة, مساحة الوحدة 10000 م2, مخصص لل عوائل فقط,0,"1,500"
مخيم بجلسة خارجية وبيت شعر, الرياض - حي العاذرية, مساحة الوحدة 6000 م2, مخصص لل عوائل و عزاب,0,600
شاليه بملحق خارجي وجلسة خارجية , الرياض - ديراب , مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,0,500
مخيم  بجلسة خارجية وبيت شعر , الرياض - حي العاذرية, مساحة الوحدة 3500 م2, مخصص لل عوائل و عزاب,0,550
استراحة بألعاب أطفال ومسبح , الرياض - حي ضاحية نمار, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,0,"1,200"
شاليه , الرياض - حي العريجاء الغربي, مساحة الوحدة 480 م2, مخصص لل عوائل و عزاب,0,900
شاليه بمسطح اخضر وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,7.7,900
شاليه بصالة و جلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل و عزاب,7.7,600
شاليه بجلسه مطله على حديقه , الرياض - حي العارض, مساحة الوحدة 550 م2, مخصص لل عوائل فقط,7.9,"1,500"
شاليه بمسطح اخضر, الرياض - حي نمار, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,7.5,700
شاليه بمسطح اخضر, الرياض - حي نمار, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,7.5,700
شاليه بمسطح اخضر, الرياض - حي نمار, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,7.5,700
شاليه بمجلس رئيسي وجلسة خارجية , الرياض - حي المهدية, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,7.6,500
شاليه بمسطح اخضر وجلسة خارجية , الرياض - حي القيروان, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,7.7,"1,650"
شاليه عائلي بمسبح داخلي (حاجز), الرياض - حي القيروان, مساحة الوحدة 520 م2, مخصص لل عوائل فقط,7.7,"1,650"
شاليه بمجلس داخلي وملحق خارجي, الرياض - حي بنبان, مساحة الوحدة 480 م2, مخصص لل عوائل و عزاب,7.7,490
شاليه بمسطح اخضر وركن شواء, الرياض - حي بنبان, مساحة الوحدة 480 م2, مخصص لل عوائل و عزاب,7.7,490
شاليه بمسبح وألعاب مائية , الرياض - حي الرمال, مساحة الوحدة 600 م2, مخصص لل عوائل و عزاب,7.5,600
شاليه بجلسه مطله على مسطح اخضر , الرياض - حي الرمال, مساحة الوحدة 600 م2, مخصص لل عوائل و عزاب,7.5,600
شاليه بمجلس مطل على مسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 600 م2, مخصص لل عوائل و عزاب,7.5,600
شاليه بمسبح وألعاب مائية , الرياض - حي الرمال, مساحة الوحدة 600 م2, مخصص لل عوائل و عزاب,7.5,600
شاليه بصاله ومسبح بألعاب اطفال , الرياض - حي الرمال, مساحة الوحدة 600 م2, مخصص لل عوائل و عزاب,7.5,600
شاليه بمسبح وجلسة خارجية, الرياض - حي العارض, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,6.5,600
شاليه بمسطح اخضر و جلسة خارجية, الرياض - حي ضاحية نمار, مساحة الوحدة 600 م2, مخصص لل عوائل فقط,7.7,800
شاليه بركن شواء وجلسة خارجيه وغرفة نوم, الرياض - حي ضاحية نمار, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,7.7,500
شاليه بصاله كنب وملحق خارجي , الرياض - حي ضاحية نمار, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,7.7,500
شاليه بمجلس وإضاءة إضافية, الرياض - حي ضاحية نمار, مساحة الوحدة 700 م2, مخصص لل عوائل فقط,7.7,800
شاليه بصالة وغرفة نوم ومسطح اخضر, الرياض - حي ضاحية نمار, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,7.7,500
شاليه بمجلس بالاضافة الى 1 غرف نوم , الرياض - حي ضاحية نمار, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,7.7,500
شاليه بمجلس يسع 7 أشخاص وغرفة نوم, الرياض - حي ضاحية نمار, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,7.7,500
شاليه بمسطح اخضر ومجلس بإضاءة إضافية, الرياض - حي ضاحية نمار, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,7.7,500
شاليه بمجلس رئيسي ومجلس اضافي, الرياض - حي ضاحية نمار, مساحة الوحدة 650 م2, مخصص لل عوائل فقط,7.7,800
شاليه بجلسة خارجية ومسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 550 م2, مخصص لل عوائل فقط,7.7,450
شاليه بمجلس رئيسي وملحق خارجي , الرياض - حي الرمال, مساحة الوحدة 550 م2, مخصص لل عوائل فقط,7.7,450
