area,rating,price,pool,garden,outdoor,play_area,family,single,property_type_apartment,property_type_camp,property_type_chalet,property_type_farm,property_type_resort
500,6.6,499,0,1,0,1,0,0,0,0,1,0,0
300,8.6,400,0,1,1,0,0,0,0,0,1,0,0
800,9.3,500,0,0,1,0,0,0,0,0,1,0,0
20000,9.8,1600,0,0,1,0,0,0,0,1,0,0,0
400,8.4,850,1,0,1,0,0,0,0,0,1,0,0
250,9.6,500,1,0,1,0,0,0,0,0,1,0,0
250,0.0,800,1,1,0,0,0,0,0,0,1,0,0
250,0.0,800,1,0,1,0,0,0,0,0,1,0,0
250,0.0,800,1,1,0,0,0,0,0,0,1,0,0
300,0.0,400,0,1,0,0,1,0,0,0,1,0,0
400,7.2,1000,0,0,1,0,1,0,0,0,1,0,0
300,6.6,399,1,1,0,0,0,0,0,0,1,0,0
200,8.0,300,0,0,1,0,1,0,0,0,1,0,0
250,7.2,450,0,1,0,1,0,0,0,0,1,0,0
1500,8.4,700,1,0,0,1,0,0,0,0,1,0,0
300,8.6,400,1,1,0,0,0,0,0,0,1,0,0
1250,8.1,299,1,0,0,1,0,0,0,0,1,0,0
200,5.3,750,0,1,0,0,0,0,0,0,1,0,0
250,8.2,450,1,0,0,1,1,0,0,0,1,0,0
1800,9.1,500,0,1,0,0,0,0,0,0,0,1,0
900,9.1,1760,1,0,0,1,0,0,0,0,0,0,1
750,9.0,900,0,0,1,0,1,0,0,0,0,1,0
50000,0.0,500,0,0,0,0,0,0,0,0,0,1,0
250,0.0,2500,0,0,1,0,1,0,0,0,1,0,0
4000,0.0,5000,0,0,0,0,0,0,0,0,0,1,0
500,0.0,2000,0,1,0,0,0,0,0,1,0,0,0
1500,0.0,540,0,0,1,0,0,0,0,1,0,0,0
4000,0.0,1500,0,0,1,0,1,0,0,1,0,0,0
3500,0.0,1500,0,0,1,0,1,0,0,1,0,0,0
1000,0.0,900,0,0,1,0,0,0,0,1,0,0,0
400,0.0,874,0,0,1,0,0,0,1,0,0,0,0
400,0.0,874,1,1,0,0,0,0,0,0,1,0,0
500,0.0,800,0,0,0,1,0,0,0,1,0,0,0
1200,0.0,1200,1,0,1,0,0,0,0,0,1,0,0
